Análisis: lexico
Autor: SebastianBarco
Fecha: 21-06-2026-21h51

TOKENS RECONOCIDOS
------------------------------------------------------------
[LLAVE_IZQ] '{' | línea 26 | columna 519
[RETURN] 'return' | línea 27 | columna 529
[LITERAL_CADENA] '"Reprobado"' | línea 27 | columna 536
[PUNTO_Y_COMA] ';' | línea 27 | columna 547
[LLAVE_DER] '}' | línea 28 | columna 553
[LLAVE_DER] '}' | línea 29 | columna 555
[VARIABLE] '$resultado' | línea 31 | columna 558
[ASIGNACION] '=' | línea 31 | columna 569
[IDENTIFICADOR] 'calcularPromedio' | línea 31 | columna 571
[PARENTESIS_IZQ] '(' | línea 31 | columna 587
[VARIABLE] '$notas' | línea 31 | columna 588
[PARENTESIS_DER] ')' | línea 31 | columna 594
[PUNTO_Y_COMA] ';' | línea 31 | columna 595
[VARIABLE] '$estado' | línea 32 | columna 597
[ASIGNACION] '=' | línea 32 | columna 605
[IDENTIFICADOR] 'obtenerEstado' | línea 32 | columna 607
[PARENTESIS_IZQ] '(' | línea 32 | columna 620
[VARIABLE] '$resultado' | línea 32 | columna 621
[COMA] ',' | línea 32 | columna 631
[VARIABLE] '$activo' | línea 32 | columna 633
[PARENTESIS_DER] ')' | línea 32 | columna 640
[PUNTO_Y_COMA] ';' | línea 32 | columna 641
[IF] 'if' | línea 34 | columna 644
[PARENTESIS_IZQ] '(' | línea 34 | columna 647
[VARIABLE] '$beca' | línea 34 | columna 648
[IGUAL_ESTRICTO] '===' | línea 34 | columna 654
[NULL] 'null' | línea 34 | columna 658
[PARENTESIS_DER] ')' | línea 34 | columna 662
[LLAVE_IZQ] '{' | línea 34 | columna 664
[VARIABLE] '$beca' | línea 35 | columna 670
[ASIGNACION] '=' | línea 35 | columna 676
[FALSE] 'false' | línea 35 | columna 678
[PUNTO_Y_COMA] ';' | línea 35 | columna 683
[LLAVE_DER] '}' | línea 36 | columna 685
[IF] 'if' | línea 38 | columna 688
[PARENTESIS_IZQ] '(' | línea 38 | columna 691
[VARIABLE] '$beca' | línea 38 | columna 692
[NOT_LOGICO] '!' | línea 38 | columna 698
[ASIGNACION] '=' | línea 38 | columna 699
[FALSE] 'false' | línea 38 | columna 701
[PARENTESIS_DER] ')' | línea 38 | columna 706
[LLAVE_IZQ] '{' | línea 38 | columna 708
[ECHO] 'echo' | línea 39 | columna 714
[LITERAL_CADENA] '"Tiene beca"' | línea 39 | columna 719
[PUNTO_Y_COMA] ';' | línea 39 | columna 731
[LLAVE_DER] '}' | línea 40 | columna 733
[ELSE] 'else' | línea 40 | columna 735
[LLAVE_IZQ] '{' | línea 40 | columna 740
[PRINT] 'print' | línea 41 | columna 746
[LITERAL_CADENA] '"Sin beca"' | línea 41 | columna 752
[PUNTO_Y_COMA] ';' | línea 41 | columna 762
[LLAVE_DER] '}' | línea 42 | columna 764
[VARIABLE] '$puntaje' | línea 44 | columna 767
[ASIGNACION] '=' | línea 44 | columna 776
[LITERAL_ENTERO] '0' | línea 44 | columna 778
[PUNTO_Y_COMA] ';' | línea 44 | columna 779
[VARIABLE] '$puntaje' | línea 45 | columna 781
[INCREMENTO] '++' | línea 45 | columna 789
[PUNTO_Y_COMA] ';' | línea 45 | columna 791
[VARIABLE] '$puntaje' | línea 46 | columna 793
[POR_IGUAL] '*=' | línea 46 | columna 802
[LITERAL_ENTERO] '2' | línea 46 | columna 805
[PUNTO_Y_COMA] ';' | línea 46 | columna 806
[VARIABLE] '$puntaje' | línea 47 | columna 808
[MENOS_IGUAL] '-=' | línea 47 | columna 817
[LITERAL_ENTERO] '1' | línea 47 | columna 820
[PUNTO_Y_COMA] ';' | línea 47 | columna 821
[VARIABLE] '$puntaje' | línea 48 | columna 823
[MODULO] '%' | línea 48 | columna 832
[ASIGNACION] '=' | línea 48 | columna 833
[LITERAL_ENTERO] '3' | línea 48 | columna 835
[PUNTO_Y_COMA] ';' | línea 48 | columna 836
[ECHO] 'echo' | línea 50 | columna 839
[LITERAL_CADENA] '"Nombre: "' | línea 50 | columna 844
[PUNTO] '.' | línea 50 | columna 855
[VARIABLE] '$nombre' | línea 50 | columna 857
[PUNTO_Y_COMA] ';' | línea 50 | columna 864
[ECHO] 'echo' | línea 51 | columna 866
[LITERAL_CADENA] '"Promedio: "' | línea 51 | columna 871
[PUNTO] '.' | línea 51 | columna 884
[VARIABLE] '$resultado' | línea 51 | columna 886
[PUNTO_Y_COMA] ';' | línea 51 | columna 896
[ECHO] 'echo' | línea 52 | columna 898
[LITERAL_CADENA] '"Estado: "' | línea 52 | columna 903
[PUNTO] '.' | línea 52 | columna 914
[VARIABLE] '$estado' | línea 52 | columna 916
[PUNTO_Y_COMA] ';' | línea 52 | columna 923
[CIERRE_PHP] '?>' | línea 54 | columna 926

ERRORES
------------------------------------------------------------
Sin errores
